title	content	label	url
판다는 언제부터 대나무만 먹었을까? 600만년 전 화석 봤더니…	통통한 몸집과 어울리지 않게 대나무를 주식으로 하는 판다. 이런 판다의 독특한 식성이 최소 600만년 전부터 이어졌을 가능성이  …	0	https://n.news.naver.com/mnews/article/023/0003701167
이준석 변호인 징계요청 기각… 경기변호사회 “수사결과 봐야”	“가세연의 이준석 녹취는 일부 삭제된 것” 경기중앙지방변호사회가 한 보수단체가 제기한 이준석 국민의힘 대표 변호인 징계진정을 기 …	0	https://n.news.naver.com/mnews/article/023/0003701166
박지현 “이광재가 내 배후? 어리면 배후 있을 거라는 꼰대식 사고”	비대위원장직 자진사퇴 후 한 달 만에 공개행사 참석 이재명 전당대회 출마와 민형배 복당에 반대 입장 밝혀 박지현 전 더불어민주당 …	0	https://n.news.naver.com/mnews/article/023/0003701165
野 당권주자들 “검수완박 성급했다” 이제와서 반성 모드	강병원 “진영 논리서 벗어나야” 박용진 “상식 복원하는 게 혁신” 꼼수 탈당한 민형배 복당 반대 강경파 ‘처럼회’ 해체도 요구  …	0	https://n.news.naver.com/mnews/article/023/0003701164
“먹으니 시야 흐려져” 시누이 부부 음식에 메탄올 넣은 30대여성	시누이 부부가 먹을 음식에 유독성 물질을 넣은 30대 여성이 특수상해 혐의로 경찰에 긴급 체포됐다. 1일 서울 동작경찰서는 전날 …	0	https://n.news.naver.com/mnews/article/023/0003701163
"1시간 넘으면 1만8000원… ‘주차비 갑질’ 레고랜드, 결국 내렸다"	지난 5월 정식 개장 이후 ‘주차료 갑질’ 논란에 휘말렸던 춘천 레고랜드가 결국 주차요금을 인하했다. 1시간이 넘으면 무조건 1 …	0	https://n.news.naver.com/mnews/article/023/0003701162
"美연방대법원, 낙태 이어 온실가스 규제도 제동... 백악관 “퇴행적 결정”"	“환경청이 권한 넘는 규제” 주정부·석탄회사 손 들어줘 바이든 정부·환경단체 반발 “퇴행적이고 파괴적인 결정” 연방대법관에 첫  …	0	https://n.news.naver.com/mnews/article/023/0003701161
"박지원 “이준석, 尹 귀국길 마중 나갔어도 운명은 안 바뀐다”"	야권 원로인 박지원 전 국정원장은 이준석 국민의힘 대표가 해외순방에서 돌아온 윤석열 대통령을 마중 나간 것과 관련 “(이 대표의 …	0	https://n.news.naver.com/mnews/article/023/0003701160
"이란 정권의 ‘보루’ 혁명수비대, 이상 징후...지휘관들 숙청·사망 잇따라"	美와 협상에서는 걸림돌 돼 이란 정권 수호의 ‘최후 보루’이자 최고의 권력기관인 최정예 ‘혁명수비대’가 최근 잇따라 이상 징후를 …	0	https://n.news.naver.com/mnews/article/023/0003701159
"‘뱀섬’ 내주고 분했나… 러軍, 오데사 아파트 쑥대밭 만들었다"	“어린이 포함해 최소 18명 사망” 러시아군이 1일(현지 시각) 우크라이나 남부 항구도시 오데사에 미사일 공습을 가했다. 아파트 …	0	https://n.news.naver.com/mnews/article/023/0003701158
